year,customer_id,gender_filled,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum days_filled,customer_support_calls,churn_filled
2020,254866,Male,33,112,no,no,365.1,12.8,41.38,94,2,4,1,0
2020,254883,Male,66,118,no,no,200.1,5.9,22.68,129,4,2,1,0
2020,255429,Female,40,157,no,no,294,7.9,33.32,81,6,3,1,0
2020,256057,Male,27,50,no,yes,321.45,10.6,36.43,130,4,3,1,0
2020,256062,Female,49,178,no,no,413.1,13.6,46.82,126,3,4,1,0
2020,256219,Male,36,163,no,yes,347.85,12.3,39.42,74,3,4,2,0
2020,256313,Female,42,121,yes,yes,381.15,8.7,43.2,129,4,3,3,0
2020,257020,Male,38,18,no,no,410.4,8.2,46.51,120,4,3,1,0
2020,257985,Male,36,131,no,yes,103.65,9.1,11.75,94,4,3,0,0
2020,258463,Male,39,120,no,no,298.2,9.9,33.8,81,3,3,2,0
2020,258594,Male,39,127,no,no,331.5,6.8,37.57,96,4,2,2,0
2020,258935,Female,41,122,no,no,365.7,13.7,41.45,84,8,4,2,0
2020,259373,Female,25,66,no,yes,382.35,5.4,43.33,95,3,2,2,0
2020,261566,Female,54,110,no,no,277.65,6.3,31.47,104,4,2,3,0
2020,261719,Male,34,90,no,no,218.25,10.9,24.74,123,2,3,3,0
2020,261966,Female,33,92,no,no,398.4,8.6,45.15,113,2,3,1,0
2020,262203,Female,35,36,no,no,175.65,9,19.91,108,2,3,0,0
2020,262632,Female,44,108,no,no,369.3,9.4,41.85,95,5,3,1,0
2020,262957,Male,46,126,no,no,339.3,6.4,38.45,110,2,2,0,0
2020,263042,Female,32,84,no,yes,238.65,13,27.05,108,18,4,1,0
2020,263043,Male,33,35,no,no,223.95,8.9,25.38,104,6,3,2,0
2020,263481,Female,43,137,no,no,220.8,10.2,25.02,105,4,3,1,0
2020,263575,Male,32,66,no,no,384.45,6.2,43.57,135,7,2,2,0
2020,266025,Male,33,98,no,no,325.2,11,36.86,79,9,3,0,0
2020,266756,Male,62,156,no,no,268.2,7.5,30.4,77,3,3,1,0
2020,267146,Female,35,22,no,yes,273.15,12.7,30.96,102,4,4,3,0
2020,267608,Male,44,111,no,no,286.95,6.4,32.52,107,3,2,2,0
2020,268053,Male,23,91,no,no,229.5,10.3,26.01,76,15,3,1,1
2020,268337,Female,59,176,no,yes,424.8,7.2,48.14,104,6,2,1,0
2020,269031,Female,29,182,no,no,157.35,8,17.83,91,5,3,2,0
2020,269302,Female,32,29,no,no,295.2,12.7,33.46,98,7,4,2,0
2020,269318,Male,29,189,no,no,312.45,11.3,35.41,120,5,4,3,0
2020,269603,Female,37,106,yes,no,306,13.3,34.68,102,3,4,3,1
2020,270563,Male,55,79,no,no,320.4,8.8,36.31,157,3,3,2,0
2020,271100,Male,42,96,no,yes,263.7,11.1,29.89,105,2,3,2,0
2020,271380,Female,38,109,no,no,328.35,11.3,37.21,110,4,3,2,0
2020,271398,Male,47,136,no,no,389.1,10.7,44.1,78,6,3,1,1
2020,271652,Male,49,140,no,no,353.25,11.5,40.04,111,4,4,2,0
2020,272154,Female,25,58,no,no,168.3,13.9,19.07,78,1,4,0,1
2020,272920,Female,39,56,no,no,379.8,4.4,43.04,133,4,2,1,0
2020,273583,Female,44,122,no,yes,219.6,15.6,24.89,91,4,5,2,0
2020,274134,Male,46,153,no,no,183.75,8,20.83,71,3,3,2,0
2020,274162,Male,46,138,no,no,200.85,15.4,22.76,139,3,5,1,0
2020,274503,UNKNOWN,62,114,no,no,258,10.1,29.24,100,9,3,1,0
2020,274924,Female,49,99,yes,no,363.45,11.3,41.19,93,3,4,0,1
2020,275130,Female,35,131,no,yes,289.05,10.9,32.76,59,6,3,2,0
2020,275235,Male,44,114,no,no,254.4,7.4,28.83,124,8,2,1,0
2020,275244,Male,29,86,no,yes,296.85,10.1,33.64,120,9,3,0,0
2020,275265,Female,47,154,no,no,287.1,10.2,32.54,121,3,3,3,0
2020,276226,Female,38,51,no,no,389.85,15.3,44.18,112,1,5,1,0
2020,276523,Male,37,118,no,yes,256.2,9.6,29.04,98,5,3,5,1
2020,276595,Female,46,106,no,no,315.9,12.4,35.8,88,1,4,2,1
2020,277142,Male,39,108,yes,yes,195.15,13.6,22.12,80,5,4,3,1
2020,277529,Male,30,166,no,no,331.05,12.4,37.52,102,9,4,1,0
2020,278445,Male,46,131,no,no,141.6,13.1,16.05,108,9,4,2,0
2020,278545,Male,32,64,no,no,309.3,13.6,35.05,96,2,4,1,0
2020,279171,Female,42,76,yes,no,361.5,9.9,40.97,67,1,3,1,1
2020,279465,Female,36,127,no,no,399.9,5.9,45.32,119,2,2,1,1
2020,279626,Male,23,72,no,no,248.85,12,28.2,120,5,4,2,0
2020,280486,Female,39,1,no,yes,312,8.1,35.36,144,9,3,1,0
2020,280804,Male,32,143,no,no,334.95,4.5,37.96,84,4,2,0,0
2020,280889,Male,44,114,no,yes,231.6,10.3,26.25,103,5,3,0,0
2020,280914,Female,26,118,no,no,231.9,12.6,26.28,102,5,4,2,0
2020,280972,Female,36,93,yes,yes,338.55,14,38.37,125,7,4,1,1
2020,281570,Male,23,117,no,no,153.45,15.7,17.39,93,10,5,3,0
2020,282176,Male,22,120,no,no,318.15,5.3,36.06,96,5,2,1,1
2020,283199,Female,30,108,no,no,254.4,9.3,28.83,78,4,3,0,0
2020,283507,Female,34,131,no,no,169.2,10.1,19.18,105,5,3,0,0
2020,284641,Female,32,83,no,yes,233.85,13.1,26.5,105,5,4,3,0
2020,285380,Female,33,62,no,no,421.5,0,47.77,74,0,0,1,0
2020,285996,Female,32,157,no,yes,291.45,7.1,33.03,114,5,2,1,0
2020,286521,Female,41,132,no,no,149.25,9.7,16.92,124,3,3,0,0
2020,287365,Male,51,149,no,no,356.4,9.1,40.39,111,9,3,0,0
2020,287839,Female,30,165,no,no,364.35,0,41.29,126,0,0,1,0
2020,287872,Male,37,83,yes,no,407.25,11.7,46.16,105,4,4,1,0
2020,288193,Male,42,24,no,no,398.4,11.1,45.15,105,6,3,2,1
2020,288898,Male,36,107,yes,no,351.15,10,39.8,100,3,3,1,0
2020,289421,Male,46,62,no,yes,279.6,11.1,31.69,103,3,3,2,1
2020,289791,Female,39,100,no,no,160.5,12.8,18.19,74,3,4,4,1
2020,290221,Male,23,122,yes,yes,324.6,12.7,36.79,99,4,4,1,0
2020,290450,Male,27,153,no,no,277.95,15.1,31.5,124,3,5,1,0
2020,291133,Male,44,2,yes,no,198.15,9.1,22.46,119,1,3,2,1
2020,291557,Female,41,130,no,no,102.6,10.4,11.63,139,4,3,0,0
2020,293282,Female,36,109,no,no,333.3,10.9,37.77,88,5,3,1,0
2020,293407,Male,60,93,yes,yes,281.25,12.1,31.88,127,4,4,1,0
2020,294259,Female,27,91,no,yes,348.6,12.3,39.51,128,3,4,3,0
2020,294356,Female,33,115,no,yes,213.15,9.6,24.16,114,4,3,1,0
2020,294402,Male,33,156,no,no,185.55,13.1,21.03,82,4,4,1,0
2020,294650,Female,33,73,no,no,319.5,13.5,36.21,89,3,4,0,0
2020,294829,Female,57,128,no,yes,334.35,10.8,37.89,101,4,3,0,0
2020,294869,Female,59,135,no,no,395.7,8.4,44.85,112,2,3,5,1
2020,294876,Female,34,115,yes,no,374.85,15.3,42.48,121,6,5,1,1
2020,295360,Female,32,3,no,yes,101.1,11.4,11.46,93,2,4,2,0
2020,295884,Male,37,66,no,yes,160.05,12.1,18.14,117,2,4,1,0
2020,297530,Male,36,161,no,no,332.55,6.5,37.69,113,4,2,3,0
2020,298925,Female,26,149,no,no,103.65,6.3,11.75,53,3,2,1,0
2020,299315,Male,38,140,no,no,224.7,8.1,25.47,124,2,3,1,0
2020,299771,Male,39,120,no,yes,359.1,7.7,40.7,132,3,3,0,0
2020,300117,Female,39,111,no,yes,308.25,14,34.94,95,4,4,1,0
2020,301154,Female,48,136,no,yes,135.6,13.1,15.37,115,4,4,0,0
2020,302061,Female,42,129,yes,no,401.1,5.9,45.46,146,4,2,1,0
2020,302751,Male,58,138,no,no,362.7,11.8,41.11,104,7,4,3,0
2020,302827,Male,27,115,no,no,198,0,22.44,114,0,0,3,0
2020,302854,Female,47,152,no,no,151.8,7.5,17.2,124,3,3,2,0
2020,302973,Female,54,79,no,no,62.85,11.4,7.12,55,5,4,1,0
2020,303264,Male,31,144,no,yes,377.4,12.2,42.77,97,3,4,2,0
2020,303368,Male,24,91,no,no,231.6,11.7,26.25,81,4,4,5,1
2020,303867,Male,36,80,no,no,299.7,5.5,33.97,94,4,2,1,0
2020,304690,Male,35,58,yes,yes,214.2,8.9,24.28,105,4,3,1,0
2020,306659,Male,41,126,no,no,384.75,7,43.61,122,5,2,3,0
2020,307302,Male,45,117,no,yes,331.95,4.4,37.62,87,4,2,0,0
2020,307639,Male,42,87,no,no,284.25,13.4,32.22,93,3,4,1,0
2020,308005,Female,37,93,no,no,407.4,10.9,46.17,121,3,3,2,0
2020,309090,Female,34,106,no,no,311.85,14.4,35.34,143,7,4,4,0
2020,309187,Male,35,121,no,no,255.6,11.2,28.97,87,3,4,0,1
2020,310110,Male,42,139,no,no,201.6,10.2,22.85,125,2,3,5,1
2020,310844,Female,24,132,no,no,176.4,8.8,19.99,94,5,3,1,0
2020,310937,Female,41,88,no,no,303.3,11.8,34.37,99,2,4,2,0
2020,311076,Male,36,74,yes,no,188.7,14.1,21.39,143,4,4,1,1
2020,311792,Male,21,150,no,no,268.35,13.8,30.41,100,3,4,4,1
2020,313796,Male,32,78,no,no,224.55,9.7,25.45,126,8,3,0,0
2020,314042,Male,32,87,no,no,166.35,6.2,18.85,131,5,2,1,0
2020,314937,Male,38,86,no,yes,235.8,8.4,26.72,109,5,3,3,0
2020,316144,Male,33,87,no,no,257.4,13.8,29.17,114,4,4,0,0
2020,316193,Female,37,30,no,no,254.85,11.4,28.88,93,7,4,1,0
2020,316925,Male,28,159,yes,no,385.65,8.8,43.71,82,6,3,1,1
2020,317767,Female,30,134,no,yes,214.35,10.8,24.29,96,6,3,1,0
2020,317908,Female,41,181,yes,no,241.95,14.1,27.42,98,3,4,0,1
2020,318498,Male,30,164,no,no,240.9,9,27.3,112,3,3,1,0
2020,318596,Male,24,67,no,yes,368.1,7.5,41.72,136,6,3,1,0
2020,319756,Male,30,153,no,yes,353.4,15.4,40.05,103,9,5,0,0
2020,320313,Female,38,75,no,no,175.95,12.2,19.94,82,3,4,1,0
2020,320367,Male,34,125,no,no,273.45,11.6,30.99,96,7,4,2,0
2020,320845,Male,38,30,no,no,217.5,7.1,24.65,134,4,2,3,0
2020,322209,Male,57,124,yes,no,366.9,11.3,41.58,114,4,4,1,0
2020,322710,Female,48,82,no,yes,245.7,8.8,27.85,95,2,3,2,0
2020,322846,Male,35,174,no,no,288.15,11.4,32.66,54,4,4,1,0
2020,322987,Male,75,56,no,no,295.5,10.6,33.49,91,6,3,2,0
2020,323843,Male,27,94,no,no,265.65,5.9,30.11,108,4,2,1,0
2020,323959,Female,37,56,no,no,339,6.9,38.42,142,11,2,1,0
2020,324223,Male,35,90,no,no,268.8,9.2,30.46,58,6,3,2,0
2020,324254,Female,37,56,no,no,136.65,11.9,15.49,89,8,4,2,0
2020,325195,Female,58,107,no,no,184.65,9.3,20.93,82,5,3,0,0
2020,325869,Female,23,80,no,no,297.15,9.3,33.68,76,3,3,3,0
2020,325890,Female,52,117,no,yes,324,11.8,36.72,112,4,4,0,0
2020,326310,Male,48,117,no,no,154.2,10.1,17.48,105,7,3,1,0
2020,326499,Female,24,55,no,yes,333.75,9.7,37.83,114,2,3,1,0
2020,327465,Male,31,177,no,no,127.35,7.5,14.43,66,5,3,2,0
2020,327680,Male,43,110,no,no,111.75,9.8,12.67,101,7,3,3,0
2020,328454,Female,41,148,no,yes,313.8,16.5,35.56,105,4,5,2,0
2020,328695,Male,42,74,no,no,300.6,10,34.07,118,2,3,1,0
2020,329105,Male,39,163,no,yes,329.4,13.8,37.33,88,8,4,2,0
2020,329544,Male,45,118,no,no,379.8,9.7,43.04,108,7,3,2,0
2020,330007,Male,45,98,no,no,407.1,11.1,46.14,118,6,3,4,1
2020,330054,Female,42,81,no,no,230.25,6.3,26.1,86,2,2,2,0
2020,330819,Male,39,81,no,no,249.3,13.2,28.25,68,2,4,4,0
2020,330847,Male,20,193,no,no,145.2,10.9,16.46,115,5,3,2,1
2020,331582,Female,46,128,no,yes,213.45,16,24.19,81,6,5,1,0
2020,331980,Male,57,151,no,no,268.05,9.8,30.38,101,4,3,0,0
2020,333701,Female,50,78,no,no,243.45,10.1,27.59,100,3,3,2,0
2020,334011,Female,45,148,no,no,186.6,11.3,21.15,99,6,4,0,0
2020,334129,Female,38,100,no,no,353.7,7.3,40.09,122,1,2,2,0
2020,334134,Male,33,171,no,yes,334.8,10.2,37.94,90,3,3,3,0
2020,334427,Male,33,139,no,no,354.9,11.1,40.22,118,2,3,1,1
2020,334542,Female,40,123,no,no,238.65,6.5,27.05,120,1,2,1,0
2020,334622,Male,31,132,no,yes,302.85,13.7,34.32,92,5,4,0,0
2020,335573,Female,66,66,no,no,250.95,10.6,28.44,118,5,3,1,1
2020,335608,Male,39,132,no,no,244.8,6.2,27.74,90,10,2,1,0
2020,336366,Male,40,49,no,no,179.1,12.4,20.3,153,7,4,2,0
2020,336562,Male,40,210,no,no,156.9,6.5,17.78,67,8,2,2,0
2020,337636,Female,34,68,no,no,374.85,8.9,42.48,98,6,3,2,1
2020,337937,Male,43,111,no,no,198.9,12.7,22.54,101,2,4,4,1
2020,338674,Male,35,76,no,no,254.25,10,28.82,92,3,3,0,0
2020,338767,Male,35,71,no,no,154.95,9,17.56,98,2,3,2,0
2020,338916,Male,30,74,no,no,244.05,8.7,27.66,80,6,3,0,0
2020,339327,Female,42,86,no,yes,332.4,9,37.67,105,2,3,1,0
2020,339713,Male,38,123,no,no,193.05,10.8,21.88,132,5,3,0,0
2020,339875,Male,40,1,no,yes,274.65,8.4,31.13,110,2,3,0,0
2020,340645,Female,26,101,no,no,262.35,8.5,29.73,93,5,3,1,0
2020,341448,Male,49,92,no,yes,251.1,11.2,28.46,110,3,4,4,0
2020,341623,Female,74,119,no,no,390.15,10,44.22,89,2,3,1,1
2020,341658,Female,38,150,no,yes,261.6,11,29.65,130,4,3,1,0
2020,341742,Male,52,91,no,yes,243.45,9.2,27.59,94,4,3,0,0
2020,341823,Male,32,36,no,no,303.6,10.2,34.41,127,2,3,3,0
2020,341830,Female,34,13,no,no,289.8,9.7,32.84,104,2,3,4,0
2020,342077,Male,26,108,no,no,298.95,15.2,33.88,57,2,5,0,0
2020,342187,Male,36,69,no,no,277.95,5.5,31.5,107,5,2,0,0
2020,342431,Male,24,73,no,no,336.6,13,38.15,74,2,4,1,0
2020,344089,Female,46,24,no,no,364.5,15.3,41.31,109,6,5,0,0
2020,344117,Female,35,44,yes,no,93.45,10.8,10.59,108,3,3,1,0
2020,344612,Male,23,131,no,yes,374.4,7.6,42.43,92,3,3,3,0
2020,345659,Male,51,116,no,yes,345.9,11.1,39.2,76,2,3,0,0
2020,346571,Female,31,36,no,no,266.85,10.8,30.24,102,6,3,2,0
2020,346725,Male,50,97,no,no,327,6.4,37.06,110,8,2,3,0
2020,347053,Female,65,122,no,no,205.05,8.6,23.24,110,4,3,0,0
2020,347172,Female,29,43,no,no,252.6,11.1,28.63,102,2,3,1,0
2020,348031,Male,34,43,no,no,345.3,9.2,39.13,100,3,3,0,0
2020,348226,Female,55,107,no,yes,298.35,12.6,33.81,76,4,4,3,0
2020,348566,Male,42,82,no,no,151.5,13.3,17.17,93,2,4,0,0
2020,348707,Male,57,86,no,no,264.45,6.2,29.97,78,3,2,0,0
2020,349246,Female,28,59,no,no,269.1,14.7,30.5,105,3,4,0,0
2020,349933,Male,38,64,no,no,145.8,10.4,16.52,92,6,3,2,0
2020,350259,Female,29,195,no,no,94.8,5.1,10.74,99,3,2,0,0
2020,350356,Male,25,172,no,no,317.55,6.5,35.99,136,9,2,1,0
2020,352228,Male,22,173,no,yes,348.6,5,39.51,102,5,2,3,0
2020,353630,Female,34,91,no,yes,262.95,5.6,29.8,76,11,2,1,0
2020,354808,Male,37,52,no,no,322.05,9.4,36.5,114,4,3,2,0
2020,354873,Male,33,137,no,no,261.6,10.2,29.65,121,5,3,0,0
2020,355152,Male,51,71,no,no,357,11.8,40.46,134,10,4,0,1
2020,355647,Female,44,109,yes,yes,325.8,9.3,36.92,76,3,3,0,0
2020,356699,Female,43,89,no,no,295.65,12.8,33.51,106,3,4,1,0
2020,357420,Male,25,64,no,yes,231.9,13.3,26.28,99,3,4,1,0
2020,358208,Male,31,133,no,no,331.65,8.4,37.59,84,3,3,4,0
2020,358291,Female,40,123,no,no,157.5,14.9,17.85,93,5,5,0,0
2020,359598,Female,34,46,no,no,315.3,13.1,35.73,116,7,4,1,0
2020,360230,Male,28,101,no,no,286.05,8.8,32.42,111,8,3,1,0
2020,360337,Female,33,142,yes,yes,286.65,9.8,32.49,60,3,3,0,0
2020,360437,Female,44,133,yes,no,382.05,8,43.3,103,3,3,0,1
2020,361315,Male,33,101,no,no,358.5,13.5,40.63,93,8,4,1,1
2020,361426,Male,34,122,no,no,52.65,12.7,5.97,58,2,4,1,0
2020,361731,Male,26,62,yes,no,239.55,13.9,27.15,105,6,4,0,1
2020,361851,Male,29,86,no,no,257.7,9.7,29.21,108,5,3,1,0
2020,362438,Male,44,121,no,no,272.25,8.5,30.86,103,5,3,1,0
2020,362877,Female,37,100,no,yes,369.9,13,41.92,109,5,4,1,0
2020,363710,Male,30,95,no,yes,248.55,9.8,28.17,91,6,3,0,0
2020,363738,Female,22,106,yes,yes,405.45,14.4,45.95,133,7,4,1,1
2020,364187,Female,37,81,no,yes,315.6,9.7,35.77,120,4,3,0,0
2020,364327,Male,77,184,no,no,354.6,13.8,40.19,94,4,4,1,1
2020,364342,Female,51,135,yes,yes,259.65,14.6,29.43,78,15,4,0,1
2020,364638,Male,46,90,no,no,114.15,10.8,12.94,89,3,3,0,0
2020,365200,Male,34,168,no,no,193.2,11.2,21.9,128,2,4,1,0
2020,365361,Female,33,36,no,yes,229.2,9.1,25.98,74,2,3,1,0
2020,366160,Female,40,102,no,no,261.75,8.5,29.67,110,5,3,0,0
2020,366252,Female,34,120,no,yes,300.45,10.5,34.05,116,4,3,0,0
2020,368286,Female,40,63,yes,yes,298.5,11,33.83,92,6,3,1,0
2020,368552,Female,31,77,no,no,358.8,10.3,40.66,81,2,3,5,0
2020,368840,Male,57,47,no,yes,245.25,7.8,27.8,87,4,3,2,0
2020,368983,Male,40,98,no,yes,241.8,4.4,27.4,92,8,2,4,0
2020,369661,Male,49,21,no,no,219,6.8,24.82,108,7,2,0,0
2020,369838,Female,40,105,no,no,369.6,3.8,41.89,151,4,2,0,0
2020,369850,Female,41,74,no,no,423.75,9.4,48.03,115,4,3,1,1
2020,371048,Male,41,145,no,no,281.85,4.8,31.94,108,4,2,2,0
2020,372977,Female,38,132,no,yes,261.75,10.3,29.67,76,9,3,1,0
2020,373267,Male,37,64,no,no,243.9,14.2,27.64,122,3,4,1,0
2020,373994,Female,26,51,no,no,322.2,10.2,36.52,66,5,3,0,0
2020,374210,Female,38,157,no,no,414.3,2.2,46.95,79,4,1,3,0
2020,374303,Male,32,109,yes,no,402.6,9.7,45.63,84,8,3,2,1
2020,374534,Male,55,55,yes,no,331.5,9.7,37.57,117,4,3,1,0
2020,375572,Female,45,89,no,yes,322.65,10.6,36.57,117,10,3,1,0
2020,376521,Female,42,65,no,no,204.15,4.4,23.14,104,2,2,1,0
2020,376966,Female,26,105,no,yes,290.25,8.5,32.9,111,5,3,0,0
2020,377237,Female,44,108,no,no,267.45,14.6,30.31,102,5,4,0,0
2020,377658,Female,61,88,yes,no,352.65,7.2,39.97,76,2,2,4,1
2020,378061,Male,47,101,no,yes,178.35,8.2,20.21,111,5,3,2,0
2020,379166,Male,28,59,no,no,161.7,9.9,18.33,92,3,3,2,0
2020,379999,Male,48,154,no,no,250.35,7.2,28.37,89,5,2,0,0
2020,380001,Male,33,27,no,no,266.4,7.6,30.19,106,3,3,3,0
2020,380040,Male,53,118,no,no,401.7,14.4,45.53,91,11,4,5,1
2020,380297,Male,35,96,no,yes,373.2,10.3,42.3,102,2,3,3,0
2020,380311,Female,34,93,no,no,399,13.1,45.22,63,6,4,3,0
2020,380360,Male,49,103,no,no,395.1,10.3,44.78,112,2,3,0,0
2020,381120,Female,34,108,no,no,207.9,9.8,23.56,92,3,3,1,0
2020,382675,Female,23,197,no,no,232.2,10.6,26.32,86,2,3,3,0
2020,382744,Male,37,25,no,no,201.45,12.6,22.83,100,5,4,2,0
2020,382973,Male,33,158,no,no,237,9.1,26.86,89,4,3,1,0
2020,383607,Female,46,118,no,yes,177.15,16.9,20.08,73,2,5,1,0
2020,383612,Male,46,17,no,yes,229.65,10,26.03,102,1,3,6,1
2020,383704,Female,29,95,no,yes,393.3,10.6,44.57,57,5,3,0,0
2020,384056,Male,40,129,no,no,147,10.5,16.66,123,4,3,0,0
2020,384358,Female,55,116,no,no,284.25,13.1,32.22,83,2,4,1,0
2020,384473,Male,22,35,no,no,186.3,13.1,21.11,100,8,4,2,0
2020,384612,Female,41,31,no,yes,315.75,11.5,35.79,125,2,4,1,0
2020,384789,Female,33,94,no,no,272.25,6.6,30.86,114,5,2,1,0
2020,385071,Male,41,147,no,no,232.65,10.6,26.37,133,4,3,0,0
2020,385425,Female,26,70,yes,no,340.05,17.6,38.54,93,4,5,2,1
2020,385685,Male,36,161,yes,no,234.15,11.1,26.54,115,9,3,2,0
2020,385833,Male,34,92,no,no,264.45,9.6,29.97,107,1,3,2,0
2020,386039,Male,34,38,no,no,291.6,10.8,33.05,90,5,3,3,0
2020,386746,Male,24,87,yes,no,201.3,10.7,22.81,102,5,3,0,0
2020,386800,Female,31,176,no,no,71.1,10.5,8.06,107,8,3,2,0
2020,386888,Female,27,114,no,yes,464.85,14.2,52.68,105,2,4,1,0
2020,387332,Female,22,87,no,no,204.45,7.1,23.17,101,5,2,0,0
2020,388227,Female,41,127,no,yes,259.5,4.8,29.41,99,3,2,0,0
2020,388832,Male,25,90,no,no,305.1,7.3,34.58,105,4,2,1,0
2020,390381,Male,36,80,no,no,186.45,7.9,21.13,62,9,3,1,0
2020,390526,Female,20,53,no,no,253.2,10.9,28.7,113,2,3,0,0
2020,390559,Female,31,72,no,no,297.6,13.1,33.73,125,4,4,0,0
2020,391565,Male,31,41,no,yes,310.95,5.9,35.24,74,3,2,1,0
2020,391837,Female,39,115,no,no,221.85,9.6,25.14,90,9,3,3,0
2020,393358,Female,38,165,no,no,311.55,7.9,35.31,91,3,3,0,0
2020,394936,Male,39,163,no,no,295.5,9.1,33.49,80,10,3,1,0
2020,395231,Female,39,84,no,no,272.25,8.5,30.86,118,4,3,1,0
2020,395352,Female,42,199,no,yes,345.9,8,39.2,94,2,3,0,0
2020,396153,Female,35,24,no,yes,354.45,7.2,40.17,105,2,2,3,0
2020,397420,Female,37,82,no,no,215.55,7.8,24.43,95,5,3,1,0
2020,397537,Female,44,76,no,no,194.55,7.5,22.05,87,3,3,5,1
2020,397798,Female,43,190,no,no,226.35,14.7,25.65,73,1,4,1,0
2020,397880,Male,56,60,no,no,304.8,15.1,34.54,112,6,5,2,0
2020,398749,Female,23,179,no,no,351.75,6.1,39.87,72,4,2,1,0
2020,399394,Male,42,130,no,no,233.85,11.7,26.5,103,3,4,3,0
2020,399740,Female,35,104,no,no,417.6,9.8,47.33,137,5,3,1,0
2020,399741,Male,37,50,no,no,452.55,10.5,51.29,89,6,3,1,0
2020,400302,Male,46,93,no,no,227.1,10.9,25.74,120,3,3,0,0
2020,401938,Male,50,170,yes,no,389.85,8.4,44.18,121,3,3,3,0
2020,402103,Male,37,66,no,no,301.95,7.5,34.22,101,4,3,1,0
2020,402498,Male,62,148,yes,no,328.35,11.1,37.21,99,4,3,0,0
2020,402879,Male,34,101,no,no,140.7,10.7,15.95,116,2,3,1,0
2020,403351,Female,54,130,no,no,363.75,9.3,41.23,89,2,3,2,0
2020,403868,Male,36,97,no,no,316.5,4.7,35.87,102,4,2,3,0
2020,403893,Female,56,96,no,no,147.3,7.6,16.69,120,1,3,2,0
2020,404320,Female,32,59,no,no,227.7,11.9,25.81,86,5,4,1,0
2020,405468,Male,37,79,no,no,216,13,24.48,129,4,4,1,0
2020,406013,Male,52,47,no,yes,294.9,12.9,33.42,118,4,4,2,0
2020,406104,Male,52,117,no,no,216.9,7.4,24.58,113,9,2,2,0
2020,406333,Female,34,96,no,yes,259.05,10.3,29.36,86,5,3,5,1
2020,406646,Male,37,127,yes,no,363.3,13.9,41.17,96,5,4,2,1
2020,407902,Female,33,67,no,yes,142.5,10,16.15,114,2,3,2,0
2020,407993,Male,35,90,no,no,322.35,11.8,36.53,78,2,4,2,0
2020,408389,Male,38,86,no,no,225.75,9,25.59,96,2,3,1,0
2020,409108,Female,42,100,no,yes,230.55,15.9,26.13,104,5,5,1,0
2020,409971,Female,67,132,no,no,309.3,10.2,35.05,122,6,3,1,0
2020,410186,Male,36,130,no,no,244.2,7.2,27.68,140,3,2,1,0
2020,410531,Male,52,134,no,no,307.95,5,34.9,107,9,2,1,0
2020,411123,Female,38,130,no,no,264.45,11.3,29.97,123,5,4,1,0
2020,411817,Male,44,52,no,no,287.85,7.8,32.62,87,5,3,3,0
2020,414300,Female,36,154,no,yes,288.45,9,32.69,74,1,3,2,0
2020,414753,Female,63,109,no,yes,326.25,9,36.98,99,3,3,4,0
2020,415888,Male,29,110,no,yes,303.9,9,34.44,98,9,3,2,0
2020,415976,Female,25,44,no,no,432.15,10.2,48.98,90,4,3,3,0
2020,416143,Female,37,88,no,no,207.45,9.6,23.51,110,4,3,3,0
2020,416869,Male,43,71,no,yes,212.1,5.6,24.04,99,3,2,2,0
2020,417030,Male,32,100,no,no,213.75,7.8,24.23,117,8,3,2,0
2020,417761,Female,82,122,yes,no,346.35,11,39.25,57,2,3,0,1
2020,418107,Female,58,85,no,yes,294.6,13.8,33.39,75,4,4,1,0
2020,418464,Male,26,129,yes,no,289.35,10.9,32.79,130,4,3,1,0
2020,420443,Male,21,150,no,no,189,10.2,21.42,100,6,3,3,0
2020,421900,Female,45,110,no,no,334.05,13.5,37.86,78,4,4,1,0
2020,422312,Female,32,59,no,yes,181.35,8.5,20.55,116,5,3,2,0
2020,423044,Female,35,135,no,yes,295.65,14.6,33.51,135,5,4,2,0
2020,423083,Female,36,43,no,no,126.3,10.8,14.31,79,2,3,1,0
2020,423560,Male,56,64,yes,yes,190.8,8.1,21.62,109,13,3,0,0
2020,423729,Male,40,104,no,no,208.05,10,23.58,74,3,3,0,0
2020,423786,Male,31,149,yes,yes,190.35,8.8,21.57,77,3,3,5,1
2020,424699,Male,33,113,no,yes,236.7,8.7,26.83,100,2,3,5,1
2020,426012,Female,33,71,yes,no,267.3,13.6,30.29,111,3,4,3,1
2020,426722,Male,33,93,no,no,212.55,10.2,24.09,71,3,3,0,0
2020,426789,Male,30,124,no,no,225.45,12.5,25.55,62,4,4,2,0
2020,426879,Female,35,113,no,yes,307.5,10.2,34.85,59,5,3,2,0
2020,427284,Male,51,93,no,yes,205.2,12.5,23.26,95,3,4,2,0
2020,427813,Male,50,121,no,yes,327.3,7.5,37.09,118,7,3,3,0
2020,428154,Female,30,97,yes,no,355.35,7.3,40.27,120,2,2,0,1
2020,428226,Male,46,171,no,no,346.8,12.3,39.3,124,1,4,1,0
2020,428585,Female,36,105,yes,no,410.85,10.9,46.56,90,7,3,1,1
2020,428637,Male,41,82,no,yes,232.8,10.7,26.38,68,3,3,1,0
2020,428895,Male,44,145,no,no,298.8,7.6,33.86,135,3,3,1,0
